iter	Logloss
0	0.5289321562
1	0.3986386312
2	0.3182593215
3	0.2501690464
4	0.2047104938
5	0.1704318757
6	0.1460363483
7	0.1271247055
8	0.1139386763
9	0.1027958488
10	0.09551213103
11	0.08882797382
12	0.08346709704
13	0.07989642251
14	0.07722183384
15	0.07445907633
16	0.07232498132
17	0.06993394594
18	0.06779895861
19	0.06616821418
20	0.06464446262
21	0.06357000989
22	0.06202832978
23	0.06086500108
24	0.06005111616
25	0.05934958747
26	0.05856319865
27	0.05793395125
28	0.05747504105
29	0.0569596949
30	0.05655644681
31	0.05579774224
32	0.05524582065
33	0.05469140092
34	0.05434008218
35	0.05391277692
36	0.05347668389
37	0.0531041442
38	0.05274395801
39	0.0524115966
40	0.05197905207
41	0.05172201368
42	0.05134090629
43	0.05111950959
44	0.05089167616
45	0.05064562298
46	0.05044725503
47	0.05024549743
48	0.05007204945
49	0.04982409648
50	0.04956593136
51	0.04935441108
52	0.04913395387
53	0.04888618597
54	0.04870146485
55	0.04849925759
56	0.04837797421
57	0.04823732206
58	0.04804544252
59	0.04793334707
60	0.04780348015
61	0.04762905771
62	0.04751007388
63	0.04735605925
64	0.04728647853
65	0.04714858893
66	0.0469811131
67	0.04688503187
68	0.04678843655
69	0.04661324341
70	0.04649063257
71	0.04637147
72	0.04629436423
73	0.04620524957
74	0.04612324348
75	0.04600905454
76	0.04593402648
77	0.04588281694
78	0.04581360126
79	0.04573281093
80	0.04567860394
81	0.04562685972
82	0.04558663069
83	0.04545724985
84	0.04541026505
85	0.04533984963
86	0.04533984395
87	0.04523851059
88	0.04514303509
89	0.04507255618
90	0.04491392332
91	0.04486095527
92	0.04477651606
93	0.04477649649
94	0.04477649483
95	0.04471481594
96	0.0446801621
97	0.04449722267
98	0.04443431673
99	0.04437978343
100	0.04431368491
101	0.04431362979
102	0.04431362866
103	0.04423126006
104	0.04416472555
105	0.04416471825
106	0.0441647155
107	0.04410613208
108	0.04404808916
109	0.04398019076
110	0.04384724045
111	0.04377956775
112	0.04376278191
113	0.04374505667
114	0.04374505651
115	0.04374505517
116	0.04369713507
117	0.04360215194
118	0.0435844755
119	0.04350940666
120	0.04346455297
121	0.04339266148
122	0.04332871683
123	0.04324796561
124	0.04321887252
125	0.04315603637
126	0.04312536727
127	0.0431144124
128	0.04302081932
129	0.04294430039
130	0.04291117242
131	0.04284108461
132	0.04279498199
133	0.04274108432
134	0.0426570977
135	0.04260497329
136	0.04257817701
137	0.04252346779
138	0.042468734
139	0.0424687317
140	0.04242579244
141	0.0423842993
142	0.04235819712
143	0.04232372752
144	0.0423237262
145	0.0423237224
146	0.04227501061
147	0.04227499994
148	0.04220867325
149	0.04214970228
150	0.04210625916
151	0.04206159811
152	0.04201867853
153	0.04196454905
154	0.0418988344
155	0.04185610388
156	0.0418560789
157	0.04180217541
158	0.04180060464
159	0.04174792162
160	0.04170634173
161	0.04165585305
162	0.04159971897
163	0.04158748017
164	0.04152505816
165	0.04151293075
166	0.04146762771
167	0.0414222067
168	0.04137966566
169	0.04137966322
170	0.04136962951
171	0.04131626216
172	0.04127131679
173	0.04125739996
174	0.04121785167
175	0.04116785642
176	0.04112566383
177	0.04112566383
178	0.04112565726
179	0.04112564938
180	0.04110806667
181	0.04106689978
182	0.04106687661
183	0.04105625991
184	0.04101403965
185	0.04098651679
186	0.04094436772
187	0.04092287945
188	0.04088157625
189	0.04088157531
190	0.04087463565
191	0.04087462958
192	0.04083878195
193	0.04079648796
194	0.0407441227
195	0.04074411735
196	0.04074410497
197	0.04070948626
198	0.04070935677
199	0.04068633835
200	0.04067761688
201	0.04066016219
202	0.04065989742
203	0.04061323736
204	0.04059233642
205	0.0405300316
206	0.04053003144
207	0.04048174727
208	0.04044171916
209	0.04038846561
210	0.04033498328
211	0.04033455816
212	0.04033455689
213	0.04032822615
214	0.04029987948
215	0.04029987931
216	0.04027299557
217	0.04027299387
218	0.04027293633
219	0.04019681883
220	0.04015253795
221	0.04011975684
222	0.04005322446
223	0.04005317364
224	0.04001949857
225	0.03998498421
226	0.03998496645
227	0.0399849635
228	0.03998344451
229	0.03998344379
230	0.03998342589
231	0.0399834205
232	0.03991017203
233	0.03985978717
234	0.03984343546
235	0.03982674215
236	0.03981245273
237	0.03979636217
238	0.03979267767
239	0.03977216273
240	0.03977215974
241	0.0397721457
242	0.03976766117
243	0.03973770666
244	0.03973770422
245	0.03973768913
246	0.03973764984
247	0.03968311215
248	0.03968310483
249	0.03968307216
